genome.ID	species	gff.file	iprscan.tab.file	bin.file	gene.definition	geneID	proteinID	pep.fasta.file	DNA.file	folder	Source
TriviGv29_8_2	Trichoderma virens	Trichoderma_virens.ASM17099v1.23.gff3	Trichoderma_virens.ASM17099v1.23.pep.all.fa.tsv	Trichoderma_virens.ASM17099v1.23.RData	transcript	ID	ID	Trichoderma_virens.ASM17099v1.23.pep.all.fa	Trichoderma_virens_v2.fasta	/Users/yongli/Dropbox/NPGC/NPGCquery_data	ensembl
Penex1	Penicillium expansum	Penex1.filtered_proteins.FilteredModels1.gff3	Penex1_GeneCatalog_proteins_20130524_IPR.tab	Penicillium_expansum.RData	gene	ID	proteinId	Penex1_GeneCatalog_proteins_20130524.aa.fasta	Penex1_AssemblyScaffolds.fasta		JGI
Penox1	Penicillium oxalicum	Penox1_GeneCatalog_genes_20131211.gff3	Penox1_GeneCatalog_proteins_20131211_IPR.tab	Penicillium_oxalicum.RData	gene	ID	proteinId	Penox1_GeneCatalog_proteins_20131211.aa.fasta	Penox1_AssemblyScaffolds.fasta		JGI
Aspac1	Aspergillus aculeatus ATCC16872 v1.1	Aspac1.filtered_proteins.FilteredModels6.gff3	Aspac1_filtered_proteins_IPR.tab	Aspac1.RData	gene	ID	proteinId				JGI
Aspbr1	Aspergillus brasiliensis v1.0	Aspbr1.filtered_proteins.FilteredModels1.gff3	Aspbr1_GeneCatalog_proteins_20120615_IPR.tab	Aspbr1.RData	gene	ID	proteinId				JGI
Aspca3	Aspergillus carbonarius ITEM 5010 v3	Aspca3.filtered_proteins.FilteredModels6.gff3	Aspca3_filtered_IPR.tab	Aspca3.RData	gene	ID	proteinId				JGI
Aspcam1	Aspergillus campestris IBT 28561 v1.0	Aspcam1.filtered_proteins.FilteredModels1.gff3	Aspcam1_GeneCatalog_proteins_20140128_IPR.tab	Aspcam1.RData	gene	ID	proteinId				JGI
Aspcl1	Aspergillus clavatus NRRL 1 from AspGD	Aspcl1.filtered_proteins.ExternalModels.gff3	Aspcl1_GeneCatalog_proteins_20120815_IPR.tab	Aspcl1.RData	gene	ID	proteinId				JGI
Aspfl1	Aspergillus flavus NRRL3357	Aspfl1.filtered_proteins.ExternalModels.gff3	Aspfl1_GeneCatalog_proteins_20121018_IPR.tab	Aspfl1.RData	gene	ID	proteinId				JGI
Aspfo1	Aspergillus acidus v1.0	Aspfo1.filtered_proteins.FilteredModels1.gff3	Aspfo1_GeneCatalog_proteins_20120615_IPR.tab	Aspfo1.RData	gene	ID	proteinId				JGI
Aspfu1	Aspergillus fumigatus Af293 from AspGD	Aspfu1.filtered_proteins.ExternalModels.gff3	Aspfu1_GeneCatalog_proteins_20120808_IPR.tab	Aspfu1.RData	gene	ID	proteinId				JGI
Aspfu_A1163_1	Aspergillus fumigatus A1163	Aspfu_A1163_1.filtered_proteins.External_Models.gff3	Aspfu_A1163_1_GeneCatalog_proteins_20140107_IPR.tab	Aspfu_A1163_1.RData	gene	ID	proteinId				JGI
Aspgl1	Aspergillus glaucus v1.0	Aspgl1.filtered_proteins.FilteredModels1.gff3	Aspgl1_GeneCatalog_proteins_20121005_IPR.tab	Aspgl1.RData	gene	ID	proteinId				JGI
Aspka1_1	Aspergillus kawachii IFO 4308	Aspka1_1.filtered_proteins.ExternalModels.gff3	Aspka1_1_GeneCatalog_proteins_20140116_IPR.tab	Aspka1_1.RData	gene	ID	proteinId				JGI
Aspni7	Aspergillus niger ATCC 1015 v4.0	Aspni7.filtered_proteins.FilteredModels1.gff3	Aspni7_GeneCatalog_proteins_20131226_IPR.tab	Aspni7.RData	gene	ID	proteinId				JGI
Aspni_DSM_1	Aspergillus niger CBS 513.88	Aspni_DSM_1.filtered_proteins.ExternalModels.gff3	Aspni_DSM_1_GeneCatalog_proteins_20130526_IPR.tab	Aspni_DSM_1.RData	gene	ID	proteinId				JGI
Aspni_NRRL3_1	Aspergillus niger NRRL3	Aspni_NRRL3_1.filtered_proteins.ExternalModels.gff3	Aspni_NRRL3_1_GeneCatalog_proteins_20140311_IPR.tab	Aspni_NRRL3_1.RData	gene	ID	proteinId				JGI
Aspni_bvT_1	Aspergillus niger van Tieghem ATCC 13496 v1.0	Aspni_bvT_1.filtered_proteins.FilteredModels1.gff3	Aspni_bvT_1_GeneCatalog_proteins_20140302_IPR.tab	Aspni_bvT_1.RData	gene	ID	proteinId				JGI
